date,time,open,high,low,close,K,D,KD
2026-06-17,15:25,46282.0,46289.0,46253.0,46262.0,50.0,50.0,0.0
2026-06-17,15:30,46274.0,46300.0,46266.0,46300.0,50.0,33.33,16.67
2026-06-17,15:35,46302.0,46334.0,46300.0,46328.0,64.2,43.62,20.58
2026-06-17,15:40,46335.0,46378.0,46317.0,46317.0,59.87,49.04,10.83
2026-06-17,15:45,46325.0,46345.0,46315.0,46319.0,57.51,51.86,5.65
2026-06-17,15:50,46326.0,46342.0,46323.0,46328.0,58.34,54.02,4.32
2026-06-17,15:55,46333.0,46337.0,46321.0,46336.0,61.03,56.36,4.67
2026-06-17,16:00,46338.0,46352.0,46290.0,46301.0,53.48,55.4,-1.92
2026-06-17,16:05,46309.0,46339.0,46303.0,46332.0,56.72,55.84,0.88
2026-06-17,16:10,46331.0,46331.0,46226.0,46243.0,41.54,51.07,-9.53
2026-06-17,16:15,46243.0,46266.0,46211.0,46211.0,27.7,43.28,-15.58
2026-06-17,16:20,46214.0,46249.0,46193.0,46246.0,28.01,38.19,-10.18
2026-06-17,16:25,46247.0,46248.0,46208.0,46214.0,23.08,33.15,-10.07
2026-06-17,16:30,46209.0,46225.0,46166.0,46203.0,22.02,29.44,-7.42
2026-06-17,16:35,46204.0,46208.0,46160.0,46172.0,16.76,25.21,-8.45
2026-06-17,16:40,46157.0,46167.0,46127.0,46136.0,12.51,20.98,-8.47
2026-06-17,16:50,46183.0,46223.0,46176.0,46220.0,22.96,21.64,1.32
2026-06-17,16:55,46221.0,46236.0,46210.0,46210.0,28.87,24.05,4.82
2026-06-17,17:00,46212.0,46245.0,46192.0,46235.0,45.15,31.08,14.07
2026-06-17,17:05,46232.0,46248.0,46201.0,46202.0,50.59,37.58,13.01
2026-06-17,17:10,46192.0,46196.0,46176.0,46181.0,48.6,41.26,7.34
2026-06-17,17:15,46181.0,46191.0,46140.0,46145.0,37.36,39.96,-2.6
2026-06-17,17:20,46142.0,46187.0,46142.0,46173.0,37.58,39.16,-1.58
2026-06-17,17:25,46191.0,46211.0,46188.0,46197.0,44.34,40.89,3.45
2026-06-18,04:55,46046.0,46046.0,46046.0,46046.0,29.56,37.11,-7.55
2026-06-18,08:45,46476.0,46502.0,46409.0,46409.0,46.24,40.15,6.09
2026-06-18,08:50,46429.0,46439.0,46325.0,46410.0,57.43,45.91,11.52
2026-06-18,08:55,46407.0,46418.0,46332.0,46356.0,60.95,50.93,10.02
2026-06-18,09:00,46355.0,46456.0,46330.0,46448.0,70.02,57.29,12.73
2026-06-18,09:05,46487.0,46552.0,46393.0,46466.0,74.35,62.98,11.37
2026-06-18,09:10,46472.0,46490.0,46392.0,46459.0,76.77,67.58,9.19
2026-06-18,09:15,46478.0,46478.0,46359.0,46394.0,74.11,69.75,4.36
2026-06-18,09:20,46385.0,46511.0,46376.0,46495.0,78.98,72.83,6.15
2026-06-18,09:25,46503.0,46556.0,46415.0,46451.0,70.84,72.16,-1.32
2026-06-18,09:30,46476.0,46550.0,46459.0,46508.0,73.63,72.65,0.98
2026-06-18,09:35,46469.0,46487.0,46430.0,46442.0,65.61,70.3,-4.69
